,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,229.86000061035156,231.27000427246094,222.89999389648438,223.9566650390625,223.9566650390625,97490100,266.2300109863281,267.25,264.760009765625,265.0199890136719,260.92596435546875,25611100,138.9866180419922,140.46844482421875,138.57553100585938,140.38241577148438,128.90232849121094,3759533,133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,131.7501983642578,70783700
2021-06-28,223.8800048828125,231.56666564941406,223.44000244140625,229.57333374023438,229.57333374023438,64884600,266.19000244140625,268.8999938964844,265.9100036621094,268.7200012207031,264.5688171386719,19590000,140.54493713378906,140.82217407226562,138.53729248046875,138.90057373046875,127.54164123535156,4067789,133.41000366210938,135.25,133.35000610351562,134.77999877929688,133.40313720703125,62111300
2021-06-29,228.21665954589844,229.1699981689453,225.29666137695312,226.9199981689453,226.9199981689453,52143900,268.8699951171875,271.6499938964844,267.9800109863281,271.3999938964844,267.2074279785156,19937800,138.87188720703125,140.28680419921875,138.71893310546875,139.14913940429688,127.7698974609375,2540211,134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,134.9373016357422,64556100
2021-06-30,226.58999633789062,230.93666076660156,226.04666137695312,226.56666564941406,226.56666564941406,56774700,270.69000244140625,271.3599853515625,269.6000061035156,270.8999938964844,266.7151794433594,21656500,138.7476043701172,140.46844482421875,138.34608459472656,140.14340209960938,128.68283081054688,3394375,136.1699981689453,137.41000366210938,135.8699951171875,136.9600067138672,135.5608673095703,63261400
2021-07-01,227.97332763671875,229.3300018310547,224.26666259765625,225.97332763671875,225.97332763671875,55903500,269.6099853515625,271.8399963378906,269.6000061035156,271.6000061035156,267.404296875,16725300,140.49713134765625,141.0133819580078,140.12428283691406,140.38241577148438,128.90232849121094,2809661,136.60000610351562,137.3300018310547,135.75999450683594,137.27000427246094,135.86770629882812,52485800
2021-07-02,226.32666015625,233.3333282470703,224.4199981689453,226.3000030517578,226.3000030517578,81163500,272.82000732421875,278.0,272.5,277.6499938964844,273.36083984375,26458000,140.44932556152344,140.48757934570312,133.32696533203125,133.86233520507812,122.91542053222656,17584515,137.89999389648438,140.0,137.75,139.9600067138672,138.53021240234375,78852600
2021-07-06,227.23666381835938,228.0,217.13333129882812,219.86000061035156,219.86000061035156,69853500,278.0299987792969,279.3699951171875,274.29998779296875,277.6600036621094,273.3707275390625,31565600,133.83364868164062,134.24473571777344,131.07073974609375,132.67686462402344,121.82689666748047,8466010,140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,140.5691680908203,108181800
2021-07-07,221.42333984375,221.89999389648438,212.77333068847656,214.88333129882812,214.88333129882812,56376000,279.3999938964844,280.69000244140625,277.1499938964844,279.92999267578125,275.6056823730469,23260000,132.65774536132812,134.15870666503906,132.65774536132812,133.67112731933594,122.7398452758789,4246446,143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,143.09312438964844,104911600
2021-07-08,209.4566650390625,218.14332580566406,206.82000732421875,217.60333251953125,217.60333251953125,68319900,276.8999938964844,278.7300109863281,274.8699951171875,277.4200134277344,273.1344299316406,24618600,131.72084045410156,135.09559631347656,131.6061248779297,134.55067443847656,123.54747009277344,5739820,141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,141.77670288085938,105575500
2021-07-09,217.72666931152344,219.6366729736328,214.89666748046875,218.98333740234375,218.98333740234375,54421500,275.7200012207031,278.04998779296875,275.32000732421875,277.94000244140625,273.6463623046875,23916700,135.2294464111328,135.73614501953125,134.64627075195312,135.29637145996094,124.232177734375,4083689,142.75,145.64999389648438,142.64999389648438,145.11000061035156,143.62759399414062,99890800
2021-07-12,220.73333740234375,229.0800018310547,220.72000122070312,228.56666564941406,228.56666564941406,77781000,279.1600036621094,279.7699890136719,276.5799865722656,277.32000732421875,273.0359802246094,18931700,135.2103271484375,135.71701049804688,133.9579315185547,134.72274780273438,123.70548248291016,3496360,146.2100067138672,146.32000732421875,144.0,144.5,143.0238494873047,76299700
2021-07-13,228.77333068847656,231.0933380126953,222.10000610351562,222.84666442871094,222.84666442871094,62898300,277.5199890136719,282.8500061035156,277.3900146484375,280.9800109863281,276.6394348144531,26120100,134.72274780273438,134.72274780273438,133.48948669433594,134.11090087890625,123.14366149902344,3309858,144.02999877929688,147.4600067138672,143.6300048828125,145.63999938964844,144.1521759033203,100827100
2021-07-14,223.5833282470703,226.20333862304688,217.6133270263672,217.7933349609375,217.7933349609375,64923600,282.3500061035156,283.6600036621094,280.54998779296875,282.510009765625,278.1457824707031,23113700,134.53155517578125,134.5602264404297,132.8202667236328,133.67112731933594,122.7398452758789,4606061,148.10000610351562,149.57000732421875,147.67999267578125,149.14999389648438,147.62632751464844,127050800
2021-07-15,219.4633331298828,222.04666137695312,212.6266632080078,216.86666870117188,216.86666870117188,60628800,282.0,282.510009765625,279.8299865722656,281.0299987792969,276.68865966796875,22604200,133.193115234375,134.28298950195312,132.69598388671875,134.27342224121094,123.29288482666016,3807126,149.24000549316406,150.0,147.08999633789062,148.47999572753906,146.9631805419922,106820300
2021-07-16,218.22666931152344,218.89999389648438,214.06666564941406,214.74000549316406,214.74000549316406,49113000,282.07000732421875,284.1000061035156,279.4599914550781,280.75,276.4129943847656,26186800,134.7992401123047,134.7992401123047,132.49522399902344,132.7915802001953,121.93223571777344,4298328,148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,144.89451599121094,93251400
2021-07-19,209.9633331298828,215.73333740234375,207.09666442871094,215.4066619873047,215.4066619873047,63891300,278.92999267578125,280.3699951171875,274.45001220703125,277.010009765625,272.730712890625,32935600,130.44932556152344,132.3996124267578,130.21987915039062,131.8546905517578,121.07196044921875,8977086,143.75,144.07000732421875,141.6699981689453,142.4499969482422,140.99476623535156,121434600
