,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
2021-05-14 00:00:00-04:00,245.5800018310547,249.17999267578125,245.49000549316406,248.14999389648438,244.36427307128906,23901100,138.72848510742188,139.28298950195312,137.62905883789062,138.31739807128906,127.00616455078125,2873780
2021-05-17 00:00:00-04:00,246.5500030517578,246.58999633789062,243.52000427246094,245.17999267578125,241.43955993652344,24970200,138.08795166015625,139.3881378173828,137.9827880859375,138.72848510742188,127.38362884521484,4471755
2021-05-18 00:00:00-04:00,246.27000427246094,246.41000366210938,242.89999389648438,243.0800018310547,239.3716278076172,20168000,138.41299438476562,138.91014099121094,136.93116760253906,137.58126831054688,126.33024597167969,4000009
2021-05-19 00:00:00-04:00,239.30999755859375,243.22999572753906,238.60000610351562,243.1199951171875,239.96383666992188,25739800,136.06118774414062,136.90248107910156,134.72274780273438,136.89292907714844,125.69818878173828,4498532
2021-05-20 00:00:00-04:00,243.9600067138672,247.9499969482422,243.86000061035156,246.47999572753906,243.28018188476562,21800700,136.8260040283203,138.53729248046875,135.90821838378906,137.55258178710938,126.30388641357422,4301675
2021-05-21 00:00:00-04:00,247.57000732421875,248.3300018310547,244.74000549316406,245.1699981689453,241.98721313476562,21863100,137.93499755859375,139.29254150390625,137.93499755859375,138.374755859375,127.05883026123047,4219041
2021-05-24 00:00:00-04:00,247.7899932861328,251.16000366210938,247.50999450683594,250.77999877929688,247.52439880371094,21411500,138.68069458007812,138.9961700439453,137.83938598632812,138.3556365966797,127.04129028320312,3449290
2021-05-25 00:00:00-04:00,251.77000427246094,252.75,250.82000732421875,251.72000122070312,248.4521942138672,17704300,138.54684448242188,138.62332153320312,136.90248107910156,137.46653747558594,126.22488403320312,4118311
2021-05-26 00:00:00-04:00,251.42999267578125,252.94000244140625,250.75,251.49000549316406,248.2251739501953,17771600,137.18930053710938,137.65774536132812,136.74952697753906,137.07456970214844,125.86495971679688,3225655
2021-05-27 00:00:00-04:00,251.1699981689453,251.47999572753906,249.25,249.30999755859375,246.07347106933594,24426200,137.49522399902344,138.4034423828125,137.31358337402344,137.49522399902344,126.25123596191406,5889294
2021-05-28 00:00:00-04:00,251.0,252.0800018310547,249.55999755859375,249.67999267578125,246.43865966796875,18270200,137.86807250976562,137.9827880859375,137.1797332763672,137.41873168945312,126.18099975585938,2651192
2021-06-01 00:00:00-04:00,251.22999572753906,251.2899932861328,246.9600067138672,247.39999389648438,244.1882781982422,23213300,138.62332153320312,139.4168243408203,137.4282989501953,137.8489532470703,126.57601928710938,2528705
2021-06-02 00:00:00-04:00,248.1300048828125,249.27000427246094,245.83999633789062,247.3000030517578,244.08958435058594,19406700,138.26004028320312,139.34034729003906,137.7724609375,139.31166076660156,127.91911315917969,2915097
2021-06-03 00:00:00-04:00,245.22000122070312,246.33999633789062,243.0,245.7100067138672,242.52020263671875,25307700,138.53729248046875,139.46463012695312,137.70555114746094,139.14913940429688,127.76988983154297,4320608
2021-06-04 00:00:00-04:00,247.75999450683594,251.64999389648438,247.50999450683594,250.7899932861328,247.53424072265625,25281100,139.579345703125,141.06118774414062,139.3498992919922,140.93690490722656,129.41143798828125,3261323
2021-06-07 00:00:00-04:00,249.97999572753906,254.08999633789062,249.80999755859375,253.80999755859375,250.5150604248047,23079200,141.06118774414062,142.1988525390625,140.69789123535156,141.51051330566406,129.9381561279297,3621984
2021-06-08 00:00:00-04:00,255.16000366210938,256.010009765625,252.50999450683594,252.57000732421875,249.29116821289062,22455000,141.6061248779297,143.5946502685547,141.6061248779297,142.51434326171875,130.85989379882812,5313785
2021-06-09 00:00:00-04:00,253.80999755859375,255.52999877929688,253.2100067138672,253.58999633789062,250.29791259765625,17937600,142.47610473632812,144.4263916015625,142.27532958984375,144.04397583007812,132.2644500732422,5547252
2021-06-10 00:00:00-04:00,254.2899932861328,257.4599914550781,253.6699981689453,257.239990234375,253.90052795410156,24563600,144.8087921142578,146.11854553222656,143.1739959716797,143.91969299316406,132.1503143310547,4977391
2021-06-11 00:00:00-04:00,257.989990234375,258.489990234375,256.6099853515625,257.8900146484375,254.54209899902344,18999700,143.8145294189453,145.17208862304688,143.75717163085938,144.6271514892578,132.7999267578125,3596462
2021-06-14 00:00:00-04:00,257.8999938964844,259.95001220703125,256.79998779296875,259.8900146484375,256.5160827636719,19150500,144.08221435546875,144.3881378173828,142.12237548828125,143.43212890625,131.70263671875,3498661
2021-06-15 00:00:00-04:00,259.7699890136719,259.989990234375,257.67999267578125,258.3599853515625,255.00592041015625,18038900,143.26004028320312,143.31739807128906,142.06500244140625,142.7915802001953,131.1144561767578,2628912
2021-06-16 00:00:00-04:00,259.3999938964844,260.5799865722656,254.4199981689453,257.3800048828125,254.03871154785156,27220000,143.1739959716797,143.1739959716797,140.74569702148438,141.32887268066406,129.7713623046875,4057329
2021-06-17 00:00:00-04:00,256.07000732421875,261.75,256.010009765625,260.8999938964844,257.51300048828125,27565500,141.06118774414062,141.5487518310547,138.89100646972656,139.1969451904297,127.81378173828125,4568300
2021-06-18 00:00:00-04:00,259.6300048828125,262.29998779296875,258.75,259.42999267578125,256.0621032714844,37202200,138.12619018554688,138.31739807128906,136.74952697753906,136.8260040283203,125.6367416381836,9577699
2021-06-21 00:00:00-04:00,259.82000732421875,263.5199890136719,257.9200134277344,262.6300048828125,259.2205810546875,26696100,137.7724609375,140.602294921875,137.72467041015625,140.2007598876953,128.73550415039062,4482633
2021-06-22 00:00:00-04:00,262.7200012207031,265.7900085449219,262.3999938964844,265.510009765625,262.0631408691406,24694100,140.07647705078125,140.35372924804688,138.9579315185547,139.92352294921875,128.48092651367188,2549102
2021-06-23 00:00:00-04:00,265.989990234375,266.8299865722656,264.42999267578125,265.2699890136719,261.8262634277344,19518700,139.9904327392578,140.05735778808594,138.2122344970703,138.25047302246094,126.9447021484375,3349920
